Id,Prediction
r2193_c6,5.0
r2272_c6,5.0
r2305_c6,4.0
r2311_c6,5.0
r2396_c6,5.0
r2404_c6,5.0
r2514_c6,4.0
r2546_c6,5.0
r2565_c6,5.0
r2693_c6,5.0
r2706_c6,3.0
r2759_c6,4.0
r2770_c6,5.0
r2869_c6,5.0
r2899_c6,5.0
r2938_c6,5.0
r2994_c6,5.0
r3015_c6,5.0
r3036_c6,3.0
r3056_c6,2.0
r3176_c6,5.0
r3250_c6,5.0
r3375_c6,5.0
r3380_c6,5.0
r3400_c6,5.0
r3470_c6,5.0
r3493_c6,5.0
r3541_c6,5.0
r3552_c6,5.0
r3563_c6,3.0
r3678_c6,5.0
r3789_c6,5.0
r3796_c6,5.0
r3815_c6,5.0
r3823_c6,4.0
r3905_c6,5.0
r3965_c6,5.0
r3989_c6,5.0
r4029_c6,5.0
r4079_c6,5.0
r4083_c6,5.0
r4168_c6,5.0
r4203_c6,5.0
r4214_c6,5.0
r4246_c6,5.0
r4247_c6,5.0
r4264_c6,5.0
r4286_c6,5.0
r4321_c6,5.0
r4354_c6,5.0
r4362_c6,5.0
r4386_c6,5.0
r4392_c6,5.0
r4453_c6,4.0
r4580_c6,5.0
r4662_c6,5.0
r4743_c6,5.0
r4752_c6,5.0
r4756_c6,4.0
r4804_c6,5.0
r4818_c6,5.0
r4889_c6,5.0
r4955_c6,5.0
r4999_c6,5.0
r5006_c6,5.0
r5137_c6,3.0
r5139_c6,4.0
r5282_c6,5.0
r5416_c6,5.0
r5508_c6,3.0
r5514_c6,5.0
r5554_c6,5.0
r5613_c6,4.0
r5627_c6,5.0
r5649_c6,5.0
r5714_c6,5.0
r5818_c6,5.0
r5827_c6,5.0
r5871_c6,5.0
r5926_c6,4.0
r6050_c6,5.0
r6084_c6,5.0
r6129_c6,5.0
r6176_c6,5.0
r6193_c6,5.0
r6211_c6,5.0
r6236_c6,1.0
r6339_c6,5.0
r6402_c6,4.0
r6408_c6,5.0
r6462_c6,5.0
r6483_c6,5.0
r6500_c6,5.0
r6525_c6,5.0
r6606_c6,4.0
r6615_c6,5.0
r6754_c6,5.0
r6755_c6,5.0
r6897_c6,5.0
r6933_c6,5.0
r7088_c6,5.0
r7099_c6,5.0
r7111_c6,4.0
r7178_c6,5.0
r7257_c6,4.0
r7291_c6,5.0
r7335_c6,5.0
r7358_c6,5.0
r7400_c6,5.0
r7453_c6,5.0
r7496_c6,5.0
r7510_c6,4.0
r7641_c6,5.0
r7660_c6,5.0
r7726_c6,5.0
r7772_c6,4.0
r7779_c6,5.0
r7898_c6,5.0
r7902_c6,5.0
r7908_c6,3.0
r7997_c6,5.0
r8040_c6,5.0
r8050_c6,5.0
r8091_c6,5.0
r8094_c6,5.0
r8123_c6,5.0
r8202_c6,5.0
r8211_c6,5.0
r8219_c6,5.0
r8241_c6,5.0
r8260_c6,5.0
r8308_c6,1.0
r8331_c6,5.0
r8338_c6,2.0
r8406_c6,4.0
r8458_c6,5.0
r8479_c6,3.0
r8621_c6,5.0
r8731_c6,5.0
r8733_c6,5.0
r8814_c6,5.0
r8846_c6,4.0
r8851_c6,5.0
r8900_c6,5.0
r8929_c6,4.0
r8932_c6,3.0
r8941_c6,5.0
r8971_c6,5.0
r9009_c6,4.0
r9050_c6,2.0
r9070_c6,5.0
r9114_c6,4.0
r9217_c6,4.0
r9245_c6,5.0
r9332_c6,5.0
r9350_c6,5.0
r9398_c6,5.0
r9502_c6,5.0
r9518_c6,4.0
r9522_c6,4.0
r9582_c6,5.0
r9595_c6,5.0
r9596_c6,5.0
r9687_c6,4.0
r9808_c6,5.0
r9827_c6,5.0
r9861_c6,5.0
r9886_c6,5.0
r117_c7,3.0
r547_c7,4.0
r624_c7,3.0
r846_c7,3.0
r1088_c7,5.0
r1292_c7,3.0
r1334_c7,2.0
r1467_c7,1.0
r1562_c7,2.0
r1865_c7,1.0
r1935_c7,4.0
r2070_c7,3.0
r2144_c7,5.0
r2145_c7,5.0
r2178_c7,5.0
r2227_c7,4.0
r2462_c7,5.0
r3042_c7,5.0
r3163_c7,4.0
r3711_c7,2.0
r3982_c7,3.0
r4710_c7,4.0
r4937_c7,5.0
r5271_c7,4.0
r5321_c7,5.0
r5466_c7,4.0
r5630_c7,2.0
r5634_c7,3.0
r6082_c7,3.0
r6187_c7,2.0
r6232_c7,5.0
r6321_c7,2.0
r6372_c7,1.0
r6454_c7,2.0
r6515_c7,4.0
r6728_c7,5.0
r6860_c7,1.0
r6927_c7,5.0
r6983_c7,4.0
r7190_c7,3.0
r7578_c7,5.0
r7914_c7,3.0
r7967_c7,3.0
r8159_c7,3.0
r8449_c7,3.0
r8501_c7,3.0
r8696_c7,5.0
r8905_c7,3.0
r8935_c7,4.0
r9007_c7,2.0
r9378_c7,3.0
r9569_c7,3.0
r9625_c7,4.0
r9799_c7,3.0
r9922_c7,3.0
r9958_c7,3.0
r38_c8,3.0
r117_c8,5.0
r198_c8,5.0
r271_c8,5.0
r319_c8,5.0
r407_c8,3.0
r424_c8,5.0
r484_c8,3.0
r502_c8,5.0
r572_c8,4.0
r596_c8,5.0
r662_c8,5.0
r666_c8,5.0
r671_c8,3.0
r682_c8,3.0
r689_c8,5.0
r745_c8,5.0
r779_c8,3.0
r785_c8,3.0
r1087_c8,4.0
r1116_c8,1.0
r1137_c8,3.0
r1178_c8,4.0
r1202_c8,3.0
r1222_c8,2.0
r1256_c8,5.0
r1353_c8,5.0
r1386_c8,5.0
r1433_c8,5.0
r1487_c8,4.0
r1519_c8,3.0
r1705_c8,3.0
r1769_c8,3.0
r1816_c8,5.0
r1892_c8,5.0
r1976_c8,5.0
r2040_c8,3.0
r2205_c8,1.0
r2213_c8,3.0
r2222_c8,5.0
r2245_c8,2.0
r2288_c8,5.0
r2372_c8,5.0
r2573_c8,5.0
r2651_c8,4.0
r2728_c8,1.0
r2760_c8,5.0
r2779_c8,3.0
r2794_c8,5.0
r2850_c8,3.0
r2957_c8,5.0
r2972_c8,5.0
r3074_c8,2.0
r3094_c8,5.0
r3194_c8,5.0
r3247_c8,5.0
r3307_c8,3.0
r3311_c8,5.0
r3383_c8,3.0
r3399_c8,5.0
r3456_c8,4.0
r3535_c8,4.0
r3607_c8,2.0
r3872_c8,1.0
r3950_c8,2.0
r3954_c8,3.0
r4075_c8,2.0
r4085_c8,2.0
r4091_c8,4.0
r4191_c8,5.0
r4216_c8,4.0
r4244_c8,3.0
r4257_c8,1.0
r4267_c8,2.0
r4386_c8,2.0
r4525_c8,5.0
r4664_c8,5.0
r4766_c8,4.0
r4778_c8,3.0
r4823_c8,4.0
r4827_c8,2.0
r5138_c8,4.0
r5210_c8,5.0
r5358_c8,3.0
r5381_c8,2.0
r5396_c8,4.0
r5535_c8,5.0
r5538_c8,5.0
r5634_c8,5.0
r5665_c8,2.0
r5748_c8,5.0
r5802_c8,4.0
r5804_c8,3.0
r5831_c8,5.0
r5844_c8,5.0
r5916_c8,3.0
r5940_c8,1.0
r5998_c8,4.0
r6258_c8,3.0
r6267_c8,3.0
r6333_c8,5.0
r6348_c8,5.0
r6361_c8,1.0
r6389_c8,5.0
r6424_c8,1.0
r6431_c8,5.0
r6459_c8,4.0
r6531_c8,5.0
r6566_c8,2.0
r6863_c8,2.0
r6974_c8,5.0
r7007_c8,5.0
r7147_c8,5.0
r7233_c8,4.0
r7314_c8,3.0
r7380_c8,4.0
r7428_c8,4.0
r7489_c8,3.0
r7518_c8,2.0
r7547_c8,1.0
r7587_c8,5.0
r7726_c8,5.0
r7755_c8,5.0
r7825_c8,5.0
r7828_c8,3.0
r7840_c8,3.0
r7844_c8,5.0
r7851_c8,5.0
r7895_c8,5.0
r7910_c8,3.0
r7973_c8,5.0
r7989_c8,5.0
r8072_c8,5.0
r8122_c8,3.0
r8128_c8,4.0
r8216_c8,1.0
r8222_c8,4.0
r8374_c8,2.0
r8403_c8,5.0
r8457_c8,5.0
r8552_c8,3.0
r8586_c8,1.0
r8613_c8,5.0
r8671_c8,4.0
r8781_c8,5.0
r8814_c8,3.0
r8933_c8,3.0
r8952_c8,5.0
r9005_c8,5.0
r9079_c8,4.0
r9137_c8,5.0
r9234_c8,5.0
r9410_c8,3.0
r9476_c8,2.0
r9519_c8,5.0
r9534_c8,4.0
r9606_c8,3.0
r9661_c8,1.0
r9696_c8,4.0
r9804_c8,5.0
r9870_c8,5.0
r9901_c8,5.0
r9989_c8,5.0
r62_c9,3.0
r90_c9,3.0
r295_c9,5.0
r533_c9,4.0
r937_c9,3.0
r965_c9,5.0
r1157_c9,4.0
r1406_c9,1.0
r1528_c9,2.0
r1546_c9,4.0
r1598_c9,4.0
r1801_c9,2.0
r2097_c9,3.0
r2282_c9,4.0
r3076_c9,2.0
r3159_c9,5.0
r3281_c9,3.0
r4693_c9,1.0
r4901_c9,3.0
r5274_c9,2.0
r5892_c9,2.0
r6314_c9,2.0
r6703_c9,2.0
r7427_c9,2.0
r7438_c9,3.0
r7534_c9,2.0
r8005_c9,5.0
r8470_c9,2.0
r8598_c9,1.0
r9435_c9,4.0
r9529_c9,2.0
r91_c10,4.0
r351_c10,3.0
r352_c10,5.0
r369_c10,4.0
r544_c10,3.0
r601_c10,4.0
r620_c10,3.0
r649_c10,5.0
r1068_c10,5.0
r1076_c10,5.0
r1080_c10,5.0
r1097_c10,3.0
r1119_c10,4.0
r1142_c10,5.0
r1219_c10,5.0
r1578_c10,1.0
r1836_c10,3.0
r1988_c10,4.0
r2055_c10,3.0
r2134_c10,5.0
r2317_c10,4.0
r2371_c10,5.0
r2396_c10,3.0
r2557_c10,3.0
r2599_c10,4.0
r3136_c10,2.0
r3316_c10,4.0
r3322_c10,5.0
r3625_c10,5.0
r3716_c10,3.0
r3770_c10,3.0
r4018_c10,3.0
r4019_c10,5.0
r4027_c10,4.0
r4080_c10,3.0
r4171_c10,3.0
r4206_c10,3.0
r4270_c10,5.0
r4307_c10,5.0
r4329_c10,4.0
r4539_c10,4.0
r4541_c10,2.0
r4543_c10,3.0
r4651_c10,3.0
r4739_c10,3.0
r4761_c10,4.0
r4908_c10,5.0
r5036_c10,3.0
r5130_c10,4.0
r5145_c10,2.0
r5251_c10,4.0
r5353_c10,3.0
r5737_c10,2.0
r5915_c10,2.0
r5967_c10,5.0
r6069_c10,3.0
r6297_c10,4.0
r6405_c10,4.0
r6467_c10,3.0
r6557_c10,4.0
r6662_c10,5.0
r6745_c10,2.0
r6890_c10,4.0
r7085_c10,2.0
r7270_c10,5.0
r7322_c10,5.0
r7343_c10,4.0
r7362_c10,3.0
r7429_c10,2.0
r7440_c10,1.0
r7488_c10,4.0
r7503_c10,5.0
r7624_c10,5.0
r7680_c10,5.0
r7695_c10,5.0
r7783_c10,3.0
r7802_c10,4.0
r7982_c10,3.0
r7993_c10,5.0
r8060_c10,5.0
r8156_c10,5.0
r8184_c10,3.0
r8232_c10,4.0
r8253_c10,4.0
r8311_c10,1.0
r8347_c10,3.0
r8435_c10,3.0
r8520_c10,5.0
r8543_c10,5.0
r8549_c10,5.0
r8558_c10,3.0
r8662_c10,1.0
r8706_c10,4.0
r8720_c10,5.0
r8817_c10,2.0
r8834_c10,4.0
r8909_c10,5.0
r8962_c10,3.0
r8979_c10,4.0
r9025_c10,1.0
r9043_c10,5.0
r9047_c10,5.0
r9058_c10,3.0
r9174_c10,4.0
r9207_c10,5.0
r9225_c10,5.0
r9317_c10,4.0
r9329_c10,3.0
r9333_c10,5.0
r9508_c10,5.0
r9528_c10,3.0
r9604_c10,3.0
r9715_c10,5.0
r9879_c10,5.0
r9914_c10,3.0
r338_c11,3.0
r346_c11,4.0
r539_c11,2.0
r559_c11,3.0
r755_c11,2.0
r802_c11,3.0
r834_c11,2.0
r1174_c11,3.0
r1693_c11,3.0
r1709_c11,1.0
r1915_c11,4.0
r2042_c11,2.0
r2242_c11,2.0
r2430_c11,4.0
r2570_c11,2.0
r2689_c11,2.0
r2914_c11,3.0
r3009_c11,2.0
r3049_c11,2.0
r3134_c11,1.0
r3170_c11,3.0
r3253_c11,3.0
r3302_c11,2.0
r3377_c11,5.0
r3388_c11,5.0
r3419_c11,1.0
r3548_c11,3.0
r3555_c11,3.0
r3679_c11,2.0
r3747_c11,3.0
r4010_c11,3.0
r4314_c11,3.0
r4317_c11,5.0
r4460_c11,4.0
r4490_c11,3.0
r4627_c11,1.0
r4635_c11,1.0
r4998_c11,2.0
r5014_c11,1.0
r5588_c11,3.0
r5669_c11,2.0
r5670_c11,2.0
r5684_c11,2.0
r5725_c11,2.0
r6110_c11,3.0
r6138_c11,4.0
r6326_c11,3.0
r6456_c11,3.0
r6489_c11,2.0
r6544_c11,3.0
r7072_c11,1.0
r7286_c11,5.0
r7319_c11,4.0
r7591_c11,3.0
r7784_c11,2.0
r7813_c11,4.0
r8364_c11,3.0
r8445_c11,4.0
r8597_c11,2.0
r9178_c11,5.0
r9330_c11,3.0
r9360_c11,3.0
r9395_c11,3.0
r9743_c11,5.0
r9831_c11,2.0
r126_c12,5.0
r539_c12,2.0
r747_c12,3.0
r937_c12,1.0
r1087_c12,5.0
r1317_c12,3.0
r2473_c12,2.0
r2486_c12,4.0
r3413_c12,2.0
r3433_c12,2.0
r4990_c12,2.0
r5627_c12,2.0
r5697_c12,3.0
r5706_c12,4.0
r5784_c12,4.0
r5888_c12,3.0
r6439_c12,3.0
r6502_c12,3.0
r6671_c12,5.0
r6810_c12,2.0
r7075_c12,1.0
r7328_c12,4.0
r7640_c12,3.0
r7663_c12,4.0
r7922_c12,1.0
r8387_c12,3.0
r9113_c12,3.0
r9285_c12,4.0
r9804_c12,1.0
r85_c13,5.0
r134_c13,4.0
r718_c13,3.0
r741_c13,4.0
r1303_c13,4.0
r1455_c13,4.0
r2213_c13,3.0
r2257_c13,3.0
r2929_c13,4.0
r2945_c13,5.0
r3529_c13,2.0
r3923_c13,5.0
r4322_c13,3.0
r4855_c13,4.0
r4862_c13,4.0
r4993_c13,4.0
r6123_c13,3.0
r6598_c13,3.0
r7193_c13,3.0
r7408_c13,4.0
r7691_c13,3.0
r8655_c13,3.0
r8707_c13,3.0
r8768_c13,4.0
r9178_c13,5.0
r9502_c13,4.0
r9506_c13,4.0
r9817_c13,5.0
r15_c14,5.0
r34_c14,4.0
r45_c14,3.0
r54_c14,3.0
r141_c14,4.0
r233_c14,3.0
r248_c14,3.0
r365_c14,5.0
r471_c14,5.0
r766_c14,5.0
r1016_c14,5.0
r1117_c14,5.0
r1132_c14,5.0
r1146_c14,5.0
r1212_c14,5.0
r1292_c14,5.0
r1334_c14,5.0
r1352_c14,4.0
r1358_c14,5.0
r1416_c14,5.0
r1475_c14,5.0
r1477_c14,4.0
r1505_c14,5.0
r1580_c14,5.0
r1601_c14,3.0
r1712_c14,5.0
r1756_c14,3.0
r1810_c14,5.0
r1827_c14,5.0
r1996_c14,3.0
r2246_c14,5.0
r2359_c14,4.0
r2460_c14,4.0
r2477_c14,5.0
r2482_c14,4.0
r2488_c14,4.0
r2519_c14,3.0
r2623_c14,5.0
r2626_c14,5.0
r2646_c14,5.0
r2650_c14,5.0
r2674_c14,3.0
r2678_c14,5.0
r2689_c14,4.0
r2800_c14,4.0
r2859_c14,5.0
r2874_c14,5.0
r2938_c14,4.0
r2956_c14,2.0
r2971_c14,5.0
r2979_c14,5.0
r3019_c14,3.0
r3077_c14,5.0
r3082_c14,5.0
r3162_c14,4.0
r3413_c14,5.0
r3442_c14,5.0
r3469_c14,5.0
r3606_c14,3.0
r3608_c14,3.0
r3651_c14,5.0
r3969_c14,5.0
r4009_c14,3.0
r4166_c14,5.0
r4270_c14,5.0
r4298_c14,5.0
r4315_c14,4.0
r4316_c14,5.0
r4345_c14,5.0
r4414_c14,5.0
r4415_c14,5.0
r4418_c14,5.0
r4429_c14,5.0
r4472_c14,3.0
r4498_c14,5.0
r4509_c14,5.0
r4511_c14,4.0
r4516_c14,4.0
r4677_c14,5.0
r4749_c14,5.0
r4785_c14,5.0
r4813_c14,5.0
r4819_c14,5.0
r4844_c14,5.0
r4899_c14,4.0
r4918_c14,5.0
r4975_c14,4.0
r5035_c14,5.0
r5099_c14,4.0
r5123_c14,3.0
r5134_c14,5.0
r5209_c14,5.0
r5231_c14,5.0
r5269_c14,5.0
r5365_c14,3.0
r5367_c14,5.0
r5398_c14,5.0
r5413_c14,4.0
r5444_c14,4.0
r5520_c14,5.0
r5545_c14,5.0
r5620_c14,5.0
r5642_c14,5.0
r5667_c14,5.0
r5892_c14,5.0
r6042_c14,3.0
r6136_c14,4.0
r6137_c14,5.0
r6221_c14,5.0
r6330_c14,5.0
r6350_c14,5.0
r6354_c14,5.0
r6373_c14,5.0
r6425_c14,5.0
r6430_c14,4.0
r6518_c14,5.0
r6540_c14,4.0
r6551_c14,5.0
r6663_c14,5.0
r6756_c14,4.0
r6784_c14,3.0
r6826_c14,5.0
r6836_c14,5.0
r6914_c14,5.0
r6956_c14,1.0
r7010_c14,5.0
r7014_c14,5.0
r7025_c14,5.0
r7042_c14,3.0
r7057_c14,4.0
r7065_c14,2.0
r7068_c14,5.0
r7156_c14,4.0
r7254_c14,4.0
r7265_c14,3.0
r7309_c14,4.0
r7342_c14,5.0
r7345_c14,5.0
r7394_c14,2.0
r7447_c14,5.0
r7465_c14,5.0
r7479_c14,4.0
r7607_c14,5.0
r7614_c14,3.0
r7689_c14,4.0
r7691_c14,3.0
r7912_c14,5.0
r7973_c14,3.0
r7975_c14,5.0
r8020_c14,2.0
r8025_c14,5.0
r8061_c14,5.0
r8090_c14,5.0
r8142_c14,5.0
r8167_c14,5.0
r8171_c14,4.0
r8212_c14,5.0
r8217_c14,5.0
r8244_c14,5.0
r8293_c14,5.0
r8377_c14,5.0
r8419_c14,3.0
r8432_c14,5.0
r8442_c14,2.0
r8553_c14,5.0
r8642_c14,5.0
r8659_c14,3.0
r8681_c14,5.0
r8683_c14,4.0
r8898_c14,5.0
r8915_c14,4.0
r8917_c14,3.0
r8953_c14,5.0
r9020_c14,5.0
r9117_c14,5.0
r9121_c14,5.0
r9157_c14,4.0
r9171_c14,4.0
r9258_c14,5.0
r9268_c14,5.0
r9323_c14,3.0
r9350_c14,3.0
r9499_c14,5.0
r9526_c14,3.0
r9537_c14,5.0
r9555_c14,1.0
r9581_c14,3.0
r9645_c14,3.0
r9707_c14,5.0
r9722_c14,4.0
r9737_c14,5.0
r9778_c14,5.0
r9796_c14,5.0
r9800_c14,5.0
r9834_c14,4.0
r9982_c14,3.0
r204_c15,3.0
r406_c15,2.0
r492_c15,3.0
r696_c15,3.0
r705_c15,4.0
r707_c15,2.0
r933_c15,4.0
r1122_c15,3.0
r1213_c15,3.0
r1275_c15,2.0
r1283_c15,2.0
r1367_c15,4.0
r1503_c15,5.0
r1819_c15,2.0
r1947_c15,3.0
r1988_c15,3.0
r2142_c15,2.0
r2204_c15,2.0
r2419_c15,1.0
r2582_c15,5.0
r2776_c15,1.0
r2787_c15,3.0
r2939_c15,4.0
r3077_c15,3.0
r3198_c15,3.0
r3335_c15,3.0
r3425_c15,3.0
r3503_c15,3.0
r3694_c15,3.0
r3741_c15,5.0
r4049_c15,3.0
r4856_c15,3.0
r4865_c15,2.0
r5032_c15,4.0
r5525_c15,2.0
r5571_c15,3.0
r5917_c15,3.0
r6107_c15,5.0
r6169_c15,3.0
r6958_c15,3.0
r7024_c15,2.0
r7106_c15,1.0
r7119_c15,2.0
r7480_c15,2.0
r7701_c15,2.0
r7735_c15,3.0
r7796_c15,2.0
r7849_c15,4.0
r7863_c15,3.0
r7870_c15,4.0
r7989_c15,3.0
r8106_c15,3.0
r8348_c15,2.0
r8379_c15,4.0
r8814_c15,3.0
r8905_c15,4.0
r8935_c15,1.0
r9080_c15,2.0
r9083_c15,5.0
r9154_c15,4.0
r9302_c15,5.0
r9305_c15,5.0
r9444_c15,3.0
r9555_c15,1.0
r9692_c15,3.0
r9734_c15,2.0
r9868_c15,2.0
r9879_c15,2.0
r9929_c15,4.0
r64_c16,4.0
r224_c16,4.0
r274_c16,3.0
r344_c16,2.0
r457_c16,2.0
r562_c16,3.0
r590_c16,3.0
r785_c16,2.0
r956_c16,2.0
r1225_c16,5.0
r1280_c16,4.0
r1660_c16,4.0
r2144_c16,3.0
r2985_c16,2.0
r3152_c16,3.0
r3757_c16,5.0
